channel fm: 300baud(0) -> 600baud(1) -> 1200baud(2) -> vf12(18) -> vf4(8) -> vf6(6)
radios A=ic705, B=ht; seed=20260829; trials=10
opening radios (ic705, ht)...
warming up 3s...

    8/10: keyed=6.51s rx=96600 confidence=0.996 payload_failed
    9/10: keyed=6.51s rx=96600 confidence=0.997 payload_failed
    10/10: keyed=6.51s rx=96600 confidence=0.997 payload_failed

  B:ht->A:ic705: 10 x 4992 B
    1/10: keyed=6.51s rx=96600 confidence=0.995 payload_failed
    2/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    3/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    4/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    5/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    6/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    7/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed
    8/10: keyed=6.51s rx=96600 confidence=0.995 payload_failed
    9/10: keyed=6.51s rx=96600 confidence=0.995 payload_failed
    10/10: keyed=6.51s rx=96600 confidence=0.994 payload_failed

== vf6 (ID 6, DATA chunk 10218 B) ==

  A:ic705->B:ht: 10 x 10228 B
    1/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    2/10: keyed=6.51s rx=96960 confidence=0.993 payload_failed
    3/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    4/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    5/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    6/10: keyed=6.51s rx=96960 confidence=0.993 payload_failed
    7/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    8/10: keyed=6.51s rx=96960 confidence=0.994 payload_failed
    9/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed
    10/10: keyed=6.51s rx=97080 confidence=0.993 payload_failed

  B:ht->A:ic705: 10 x 10228 B
    1/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    2/10: keyed=6.51s rx=96960 confidence=0.997 payload_failed
    3/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    4/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    5/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    6/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    7/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    8/10: keyed=6.51s rx=96960 confidence=0.997 payload_failed
    9/10: keyed=6.51s rx=97080 confidence=0.997 payload_failed
    10/10: keyed=6.51s rx=97200 confidence=0.997 payload_failed

== RESULTS ==
   300baud A:ic705->B:ht: 10/10 (100.0%), 95% CI 72.2-100.0%, 162 useful bit/s
   300baud B:ht->A:ic705: 10/10 (100.0%), 95% CI 72.2-100.0%, 162 useful bit/s
   600baud A:ic705->B:ht: 10/10 (100.0%), 95% CI 72.2-100.0%, 355 useful bit/s
   600baud B:ht->A:ic705: 10/10 (100.0%), 95% CI 72.2-100.0%, 355 useful bit/s
  1200baud A:ic705->B:ht: 10/10 (100.0%), 95% CI 72.2-100.0%, 740 useful bit/s
  1200baud B:ht->A:ic705: 9/10 (90.0%), 95% CI 59.6-98.2%, 666 useful bit/s
      vf12 A:ic705->B:ht: 10/10 (100.0%), 95% CI 72.2-100.0%, 4380 useful bit/s
      vf12 B:ht->A:ic705: 0/10 (0.0%), 95% CI 0.0-27.8%, 0 useful bit/s
       vf4 A:ic705->B:ht: 0/10 (0.0%), 95% CI 0.0-27.8%, 0 useful bit/s
       vf4 B:ht->A:ic705: 0/10 (0.0%), 95% CI 0.0-27.8%, 0 useful bit/s
       vf6 A:ic705->B:ht: 0/10 (0.0%), 95% CI 0.0-27.8%, 0 useful bit/s
       vf6 B:ht->A:ic705: 0/10 (0.0%), 95% CI 0.0-27.8%, 0 useful bit/s
wrote logs\mode_qualification\fm\2026-09-13-kguv9d-level-fixed\result.json
