direction,trial,scale,keyed_s,rms_rx,synced,confidence_reported,snr_db_reported,codewords_ok,n_codewords,crc_ok,payload_ok,gt_low_median,gt_mid_median,gt_high_median,gt_median,capture_file
ht_to_ic705,1,0.35,5.299534320831299,0.056424278765916824,True,0.9768418925303257,15.033908978710087,48,48,True,True,10.663481528250092,13.495940843457197,15.64564683957115,13.59081568829091,step3_ht_to_ic705_t1_scale0.35.npz
ht_to_ic705,2,0.35,5.2979371547698975,0.05562296137213707,True,0.9760733397968068,15.847010544259835,48,48,True,True,11.01385273809144,13.194502374614236,15.86722439857281,13.910027441723742,step3_ht_to_ic705_t2_scale0.35.npz
ht_to_ic705,3,0.35,5.297068119049072,0.05550321936607361,True,0.9741443451427557,15.540412112523217,48,48,True,True,10.377415295805818,13.061708979597844,14.480296365678315,13.070687189516502,step3_ht_to_ic705_t3_scale0.35.npz
ht_to_ic705,4,0.35,5.297267436981201,0.05634228140115738,True,0.9747404467181354,15.323359626948939,48,48,True,True,10.171946594169297,12.866584731003183,15.842137286881604,13.26941996546108,step3_ht_to_ic705_t4_scale0.35.npz
ht_to_ic705,5,0.35,5.300898790359497,0.05670329928398132,True,0.9737687326983012,14.340455050732654,48,48,True,True,9.840502167402294,13.30669663700647,15.226134444720877,13.399458271140666,step3_ht_to_ic705_t5_scale0.35.npz
ht_to_ic705,6,0.35,5.298680782318115,0.05717703327536583,True,0.9600354468192069,15.191471377590283,48,48,True,True,8.826336397624532,11.983152356558424,15.147626844093844,12.122781124732558,step3_ht_to_ic705_t6_scale0.35.npz
ht_to_ic705,7,0.35,5.2974631786346436,0.05631764233112335,True,0.9747785776344765,14.694362904464025,48,48,True,True,10.173996187881194,13.424537093033198,15.401454836132292,13.53689894484239,step3_ht_to_ic705_t7_scale0.35.npz
ht_to_ic705,8,0.35,5.2974162101745605,0.057157546281814575,True,0.9739305807040115,14.575827783626744,48,48,True,True,10.333317371582556,12.456045125009073,14.286746712349704,12.590126597733843,step3_ht_to_ic705_t8_scale0.35.npz
ht_to_ic705,9,0.35,5.297353744506836,0.05608244240283966,True,0.9759942216042381,15.488322999666318,48,48,True,True,10.872660829884666,13.762675601644732,16.340437099830567,13.923053714861116,step3_ht_to_ic705_t9_scale0.35.npz
ht_to_ic705,10,0.35,5.300189971923828,0.05752929300069809,True,0.9721077746936901,14.603409998538462,48,48,True,True,9.936785841055087,12.6667686622328,15.449550343334668,12.889540343226749,step3_ht_to_ic705_t10_scale0.35.npz
ic705_to_ht,1,1.0,5.298553228378296,0.05466512590646744,True,0.9890674109375603,16.302182343934966,48,48,True,True,14.058524124815111,14.583692732030615,14.823483115416654,14.59765074085185,step3_ic705_to_ht_t1_scale1.00.npz
ic705_to_ht,2,1.0,5.298473596572876,0.043406639248132706,True,0.9894997114202706,16.193922692697534,48,48,True,True,15.622753515640122,15.785713308836344,15.788185475069714,15.750800093011206,step3_ic705_to_ht_t2_scale1.00.npz
ic705_to_ht,3,1.0,5.297760486602783,0.04218539223074913,True,0.9892997041757398,16.213075446124222,48,48,True,True,15.236028975248956,15.829332932343343,15.90025621400344,15.652009428855315,step3_ic705_to_ht_t3_scale1.00.npz
ic705_to_ht,4,1.0,5.298656702041626,0.042694490402936935,True,0.9893165690357856,16.885183530251798,48,48,True,True,15.727374942623449,16.099683657229395,16.21079498885967,16.072726727877143,step3_ic705_to_ht_t4_scale1.00.npz
ic705_to_ht,5,1.0,5.298316717147827,0.04083862155675888,True,0.9895883172692259,16.567008382890425,48,48,True,True,15.680315900727443,16.10743870031628,15.787816744565411,15.848955960471372,step3_ic705_to_ht_t5_scale1.00.npz
