round,scale,peak,rms_tx,keyed_s,rms_rx,synced,confidence_reported,snr_db_reported,codewords_ok,n_codewords,crc_ok,payload_ok,gt_low_median,gt_mid_median,gt_high_median,gt_median,capture_file
1,0.25,0.054999999701976776,0.012814375571906567,5.310783863067627,0.0564391054213047,True,0.9790790418026061,16.81340617004554,48,48,True,True,12.104237242444976,14.862502679686935,17.44332462981138,15.026116953950694,step1_r1_scale0.25.npz
1,0.35,0.07699999958276749,0.017571793869137764,5.393120765686035,0.057261623442173004,True,0.9742117082119225,14.787636123511822,48,48,True,True,9.93735044111941,13.149425482551734,14.64569434782667,13.381859986939146,step1_r1_scale0.35.npz
1,0.5,0.10999999940395355,0.02578943967819214,5.37152624130249,0.05930457264184952,True,0.9699433318110825,14.284374170664659,48,48,True,True,9.405176770940525,11.958580188525271,13.92215763118151,12.177862635496108,step1_r1_scale0.50.npz
1,0.71,0.15619999170303345,0.03856855630874634,5.321064233779907,0.06049855425953865,True,0.9550694542122357,13.349016733948929,29,48,False,False,7.469886616872331,10.895102538496937,13.184026264355222,11.053785364372668,step1_r1_scale0.71.npz
1,1.0,0.2199999988079071,0.052500832825899124,5.362183332443237,0.06356927007436752,True,0.9525965297650255,12.539049506079316,15,48,False,False,7.456685341319039,10.159530733255158,12.706922213443402,10.319916973848446,step1_r1_scale1.00.npz
1,1.41,0.3102000057697296,0.0735354945063591,5.395065546035767,0.06466585397720337,True,0.9400303736270249,11.4147244556093,2,48,False,False,6.897510157446716,9.275203594237423,12.119028112238059,9.348639533393316,step1_r1_scale1.41.npz
2,0.25,0.054999999701976776,0.012471186928451061,5.356677770614624,0.05543976649641991,True,0.9819387420031057,9.253318332541863,0,48,False,False,-1.567492756905165,-1.1543526071719798,-2.963841351153358,-1.332629072492636,step1_r2_scale0.25.npz
2,0.35,0.07699999958276749,0.01795242913067341,5.317638158798218,0.05776136368513107,True,0.9750761663827773,15.24979185244555,48,48,True,True,10.564189858000741,13.013405205500234,15.50508758586031,13.22936341485942,step1_r2_scale0.35.npz
2,0.5,0.10999999940395355,0.02405981533229351,5.391002416610718,0.05841892957687378,True,0.971380016478983,14.83203196947138,48,48,True,True,9.892820661024096,12.32953333224068,13.934223272738633,12.476004602512461,step1_r2_scale0.50.npz
2,0.71,0.15619999170303345,0.033611465245485306,5.3621437549591064,0.06041836738586426,True,0.9613829221449404,13.3949421777478,45,48,False,False,8.79751249719418,11.28338431515707,13.882649763376968,11.444005083968968,step1_r2_scale0.71.npz
2,1.0,0.2199999988079071,0.05005354806780815,5.341721296310425,0.06118374690413475,True,0.9558582882334108,12.245901717861209,16,48,False,False,7.438280804163573,10.240537234277738,12.720902613855497,10.704430381407608,step1_r2_scale1.00.npz
2,1.41,0.3102000057697296,0.0710514560341835,5.3449084758758545,0.06367194652557373,True,0.943287726937623,12.093686924567457,1,48,False,False,5.795146275346891,9.299793616297194,12.492421236947326,9.440059691292568,step1_r2_scale1.41.npz
3,0.25,0.054999999701976776,0.01254225242882967,5.392909526824951,0.05494019016623497,True,0.9816588741565287,16.236804892406123,48,48,True,True,12.007004097862653,14.346927444340391,16.68455262831617,14.899782809681097,step1_r3_scale0.25.npz
3,0.35,0.07699999958276749,0.016714824363589287,5.363188028335571,0.05623617395758629,True,0.9758525143134785,15.703409559025022,48,48,True,True,10.241550888403449,13.033520166404124,15.57031946995144,13.188816851252266,step1_r3_scale0.35.npz
3,0.5,0.10999999940395355,0.02705676667392254,5.329803228378296,0.05948561057448387,True,0.965417983109615,14.684092283004595,46,48,False,False,9.335329984095996,11.969959882412734,14.490914954882697,12.053374043159106,step1_r3_scale0.50.npz
